시장,코드,종목명,현재가,등락률,시가총액,거래량,거래대금억원_추정,PER,ROE,점수
KOSDAQ,092870,엑시콘,29200.0,-2.67,3811.0,283854.0,82.885368,33.26,4.81,6
KOSPI,003160,디아이,27850.0,-2.62,7882.0,297272.0,82.790252,72.91,3.21,6
KOSDAQ,402490,그린리소스,13880.0,-9.1,2351.0,564405.0,78.339414,16.6,15.86,6
KOSDAQ,234340,헥토파이낸셜,26400.0,-0.75,3688.0,289015.0,76.29996,27.36,5.89,6
KOSDAQ,170920,엘티씨,38250.0,-2.55,4041.0,192100.0,73.47825,37.87,4.05,6
KOSDAQ,425420,티에프이,46500.0,-8.28,5741.0,153039.0,71.163135,28.62,19.3,6
KOSDAQ,382800,지앤비에스 에코,7460.0,-2.48,2375.0,893280.0,66.638688,15.61,5.51,6
KOSPI,018250,애경산업,14160.0,7.6,3740.0,463083.0,65.5725528,15.72,3.8,6
KOSDAQ,388050,지투파워,9980.0,-4.31,1867.0,652041.0,65.0736918,24.11,14.09,6
KOSDAQ,089890,코세스,39150.0,-3.93,6493.0,151954.0,59.489991,52.2,19.58,6
KOSDAQ,368770,파이버프로,17310.0,-5.92,5687.0,338777.0,58.6422987,44.73,22.06,6
KOSPI,025860,남해화학,7000.0,-2.91,3478.0,837193.0,58.60351,27.13,5.41,6
KOSDAQ,214430,아이쓰리시스템,80800.0,-4.38,5904.0,70191.0,56.714328,32.13,15.31,6
KOSDAQ,036170,에이치엠넥스,4065.0,-5.47,2495.0,1377518.0,55.9961067,21.17,8.43,6
KOSDAQ,083500,에프엔에스테크,19200.0,-6.11,1647.0,278322.0,53.437824,16.62,10.83,6
KOSPI,007070,GS리테일,25550.0,0.79,21362.0,188279.0,48.1052845,26.78,1.34,6
KOSDAQ,049630,재영솔루텍,10650.0,-3.09,2490.0,435655.0,46.3972575,12.1,9.88,6
KOSDAQ,045100,한양이엔지,30600.0,-3.32,5355.0,146709.0,44.892954,9.39,6.81,6
KOSDAQ,298830,슈어소프트테크,6100.0,-2.71,3261.0,717836.0,43.787996,33.89,8.6,6
KOSDAQ,094820,일진파워,14060.0,-3.83,2120.0,303025.0,42.605315,8.91,13.41,6
KOSDAQ,114810,한솔아이원스,13800.0,-3.43,3884.0,284673.0,39.284874,17.04,14.49,6
KOSPI,058430,포스코스틸리온,5940.0,-1.66,3564.0,582203.0,34.5828582,24.75,4.45,6
KOSPI,000080,하이트진로,16020.0,-2.79,11235.0,215838.0,34.5772476,28.92,3.69,6
KOSDAQ,065680,우주일렉트로,45550.0,-4.31,4209.0,71575.0,32.6024125,18.71,8.47,6
KOSPI,001820,삼화콘덴서,149100.0,-4.55,15499.0,6239545.0,9303.161595,113.3,4.62,5
KOSPI,003550,LG,146600.0,26.6,226089.0,6073217.0,8903.336122,46.78,2.64,5
KOSDAQ,178320,서진시스템,77600.0,-3.96,49378.0,3105502.0,2409.869552,-35.76,-12.63,5
KOSDAQ,440110,파두,112100.0,0.63,56159.0,2131323.0,2389.213083,-104.28,-131.08,5
KOSPI,445290,KODEX 로봇액티브,44675.0,8.83,15502.0,4499547.0,2010.17262225,,,5
KOSPI,066970,엘앤에프,168300.0,-0.53,68087.0,1022438.0,1720.763154,-13.12,-76.95,5
KOSPI,091180,KODEX 자동차,41120.0,6.25,6435.0,3367440.0,1384.691328,,,5
KOSPI,0148,TIGER 코리아휴머노이드로봇산업,13845.0,8.84,8162.0,9575144.0,1325.6786868,,,5
KOSPI,442580,PLUS 글로벌HBM반도체,119275.0,3.38,9840.0,973373.0,1160.99064575,,,5
KOSDAQ,222800,심텍,118100.0,1.64,44245.0,873955.0,1032.140855,-35.71,-32.1,5
KOSDAQ,027360,아주IB투자,12090.0,-11.36,14646.0,8256248.0,998.1803832,175.22,3.15,5
KOSPI,096770,SK이노베이션,119200.0,1.88,201511.0,806022.0,960.778224,-9.04,-14.42,5
KOSPI,011790,SKC,139300.0,1.53,52751.0,688861.0,959.583373,-7.42,-73.28,5
KOSDAQ,226950,올릭스,175100.0,-2.78,35546.0,477552.0,836.193552,-303.47,-18.83,5
KOSPI,471990,KODEX AI반도체핵심장비,30730.0,3.61,5163.0,2010422.0,617.8026806,,,5
KOSDAQ,417200,LS머트리얼즈,21350.0,-4.69,14444.0,2373585.0,506.7603975,3558.33,0.24,5
KOSPI,290130,RISE ESG사회책임투자,58730.0,3.58,5638.0,806378.0,473.5857994,,,5
KOSPI,226490,KODEX 코스피,86885.0,3.07,11990.0,540262.0,469.4066387,,,5
KOSDAQ,347700,스피어,38950.0,-7.15,19792.0,1171422.0,456.268869,7790.0,0.43,5
KOSPI,446770,ACE 글로벌반도체TOP4 Plus,92550.0,3.04,18186.0,478896.0,443.218248,,,5
KOSPI,237350,KODEX 코스피100,107960.0,3.62,11552.0,403134.0,435.2234664,,,5
KOSDAQ,090710,휴림로봇,10440.0,-2.34,12471.0,4084055.0,426.375342,-74.57,-13.42,5
KOSDAQ,141080,리가켐바이오,151100.0,-2.52,55936.0,273960.0,413.95356,-74.47,-13.22,5
KOSDAQ,298380,에이비엘바이오,111900.0,-2.27,62650.0,355097.0,397.353543,-254.9,-23.48,5
KOSPI,494220,UNICORN SK하이닉스밸류체인액티브,53995.0,0.04,2376.0,719960.0,388.742402,,,5
KOSPI,001340,PKC,6980.0,-9.11,3139.0,5180364.0,361.5894072,54.11,4.63,5
KOSPI,0151,KODEX 미국AI반도체TOP3플러스,17825.0,3.18,2522.0,1925254.0,343.1765255,,,5
KOSPI,0163,KoAct 코스닥액티브,12015.0,-3.18,6512.0,2790048.0,335.2242672,,,5
KOSPI,069660,KIWOOM 200,135315.0,4.29,9878.0,241791.0,327.17949165,,,5
KOSPI,117700,KODEX 건설,8010.0,1.52,2395.0,3808206.0,305.0373006,,,5
KOSPI,157500,TIGER 증권,17785.0,-1.11,4016.0,1574997.0,280.11321645,,,5
KOSDAQ,263750,펄어비스,43650.0,-0.57,28044.0,571648.0,249.524352,-333.21,-1.05,5
KOSPI,496080,TIGER 코리아밸류업,39025.0,2.24,6459.0,620708.0,242.231297,,,5
KOSPI,457190,이수스페셜티케미컬,96300.0,-2.63,29101.0,229935.0,221.427405,-2602.7,0.61,5
KOSPI,474590,WON 반도체밸류체인액티브,52090.0,2.17,3568.0,423154.0,220.4209186,,,5
KOSPI,144600,KODEX 은선물(H),12410.0,3.68,10759.0,1765428.0,219.0896148,,,5
KOSPI,0162,TIME 코스닥액티브,10570.0,-2.72,3958.0,1997085.0,211.0918845,,,5
KOSPI,0015,KoAct 미국나스닥성장기업액티브,24375.0,3.66,7008.0,840796.0,204.944025,,,5
KOSPI,294400,KIWOOM 200TR,176435.0,3.68,23819.0,115386.0,203.5812891,,,5
KOSPI,008770,호텔신라,55100.0,-0.36,21626.0,364783.0,200.995433,-13.72,-14.46,5
KOSPI,494890,KODEX 200액티브,39000.0,3.72,13611.0,510521.0,199.10319,,,5
KOSDAQ,115500,케이씨에스,16500.0,-5.12,1980.0,1186740.0,195.8121,75.0,13.11,5
KOSPI,0105,SOL 코리아고배당,13625.0,0.15,6145.0,1419990.0,193.4736375,,,5
KOSPI,490590,RISE 미국AI밸류체인데일리고정커버드콜,16950.0,3.45,7153.0,1130958.0,191.697381,,,5
KOSPI,385510,KODEX 신재생에너지액티브,50870.0,-1.51,5087.0,360881.0,183.5801647,,,5
KOSPI,377300,카카오페이,46550.0,3.22,62962.0,390438.0,181.748889,104.14,2.41,5
KOSPI,0019,TIME 미국나스닥100채권혼합50액티브,14500.0,1.79,3908.0,1151293.0,166.937485,,,5
KOSPI,423170,SOL 글로벌AI반도체탑픽액티브,68280.0,1.8,2526.0,238724.0,163.0007472,,,5
KOSPI,364970,TIGER 바이오TOP10,7530.0,-0.79,3181.0,2003198.0,150.8408094,,,5
KOSPI,020150,롯데에너지머티리얼즈,56100.0,-2.09,29377.0,267015.0,149.795415,-26.89,-10.54,5
KOSPI,279530,KODEX 고배당주,17835.0,1.11,3888.0,825240.0,147.181554,,,5
KOSDAQ,125490,한라캐스트,14660.0,-2.85,5351.0,975909.0,143.0682594,127.48,6.52,5
KOSPI,491620,RISE 미국테크100데일리고정커버드콜,12235.0,1.54,4594.0,1165957.0,142.65483895,,,5
KOSPI,433500,ACE 원자력TOP10,73055.0,0.2,3799.0,193634.0,141.4593187,,,5
KOSPI,139230,TIGER 200 중공업,17830.0,0.71,3866.0,788595.0,140.6064885,,,5
KOSPI,495230,KoAct 코리아밸류업액티브,39085.0,2.25,3889.0,349313.0,136.52898605,,,5
KOSPI,483340,ACE 구글밸류체인액티브,27960.0,2.27,3383.0,461897.0,129.1464012,,,5
